goal;level;kracht_oef;cardio_oef;days_per_week;schema;warming_up;    stretching;    strength_training;    cardio;    cooling_down
Kracht;Beginner;0;0;1;Full body;(218,208,214);(194,448,1000);(155,277,428,440,531,707,795,1086,980,1244);(231,218,208);(1056,129,492,1055,1000)
Kracht;Beginner;0;0;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Beginner;0;1;1;Full body;(218,208,214);(473,493,1059);(5,236,425,428,468,480,442,573,677,878,929,1233);(231,218,208);(1068,1056,275,170)
Kracht;Beginner;0;1;2;Full body;(218) (208);(177,474,1007) (1057,187,175);(72,266,407,430,433,445,607,721,849,894,997,1078) (14,358,396,432,463,466,565,706,733,1015,1033,1172);(208) (228);(1000,449,170,1054) (493,1004,1113,1035)
Kracht;Beginner;0;2;1;Full body;(206,215,229);(988,279,1058);(128,293,408,431,453,487,543,657,679,959,987,1153);(214,212,207);(1055,1068,1112,170)
Kracht;Beginner;0;2;2;Full body;(217) (215,212,222);(991,624,493) (1035,189,448);(46,346,407,425,447,477,584,682,678,994,1008,1179) (185,387,429,396,446,481,531,681,689,954,1017,1152);(206,223,215) (205,221,223);(451,427,963,1099) (1112,187,189,493)
Kracht;Beginner;1;0;1;Full body;(218,208,214);(194,448,1000);(155,277,428,440,531,707,795,1086,980,1244);(231,218,208);(1056,129,492,1055,1000)
Kracht;Beginner;1;0;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Beginner;1;1;1;Full body;(218,208,214);(473,493,1059);(5,236,425,428,468,480,442,573,677,878,929,1233);(231,218,208);(1068,1056,275,170)
Kracht;Beginner;1;1;2;Full body;(218) (208);(177,474,1007) (1057,187,175);(72,266,407,430,433,445,607,721,849,894,997,1078) (14,358,396,432,463,466,565,706,733,1015,1033,1172);(208) (228);(1000,449,170,1054) (493,1004,1113,1035)
Kracht;Beginner;1;2;1;Full body;(206,215,229);(988,279,1058);(128,293,408,431,453,487,543,657,679,959,987,1153);(214,212,207);(1055,1068,1112,170)
Kracht;Beginner;1;2;2;Full body;(217) (215,212,222);(991,624,493) (1035,189,448);(46,346,407,425,447,477,584,682,678,994,1008,1179) (185,387,429,396,446,481,531,681,689,954,1017,1152);(206,223,215) (205,221,223);(451,427,963,1099) (1112,187,189,493)
Kracht;Beginner;2;0;1;Full body;(218,208,214);(194,448,1000);(155,277,428,440,531,707,795,1086,980,1244);(231,218,208);(1056,129,492,1055,1000)
Kracht;Beginner;2;0;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Beginner;2;1;1;Full body;(218,208,214);(473,493,1059);(5,236,425,428,468,480,442,573,677,878,929,1233);(231,218,208);(1068,1056,275,170)
Kracht;Beginner;2;1;2;Full body;(218) (208);(177,474,1007) (1057,187,175);(72,266,407,430,433,445,607,721,849,894,997,1078) (14,358,396,432,463,466,565,706,733,1015,1033,1172);(208) (228);(1000,449,170,1054) (493,1004,1113,1035)
Kracht;Beginner;2;2;1;Full body;(206,215,229);(988,279,1058);(128,293,408,431,453,487,543,657,679,959,987,1153);(214,212,207);(1055,1068,1112,170)
Kracht;Beginner;2;2;2;Full body;(217) (215,212,222);(991,624,493) (1035,189,448);(46,346,407,425,447,477,584,682,678,994,1008,1179) (185,387,429,396,446,481,531,681,689,954,1017,1152);(206,223,215) (205,221,223);(451,427,963,1099) (1112,187,189,493)
Spieropbouw;Beginner;0;0;1;Full body;(218,208,214);(194,448,1000);(155,277,428,440,531,707,795,1086,980,1244);(231,218,208);(1056,129,492,1055,1000)
Spieropbouw;Beginner;0;0;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Spieropbouw;Beginner;0;1;1;Full body;(218,208,214);(473,493,1059);(5,236,425,428,468,480,442,573,677,878,929,1233);(231,218,208);(1068,1056,275,170)
Spieropbouw;Beginner;0;1;2;Full body;(218) (208);(177,474,1007) (1057,187,175);(72,266,407,430,433,445,607,721,849,894,997,1078) (14,358,396,432,463,466,565,706,733,1015,1033,1172);(208) (228);(1000,449,170,1054) (493,1004,1113,1035)
Spieropbouw;Beginner;0;2;1;Full body;(206,215,229);(988,279,1058);(128,293,408,431,453,487,543,657,679,959,987,1153);(214,212,207);(1055,1068,1112,170)
Spieropbouw;Beginner;0;2;2;Full body;(217) (215,212,222);(991,624,493) (1035,189,448);(46,346,407,425,447,477,584,682,678,994,1008,1179) (185,387,429,396,446,481,531,681,689,954,1017,1152);(206,223,215) (205,221,223);(451,427,963,1099) (1112,187,189,493)
Spieropbouw;Beginner;1;0;1;Full body;(218,208,214);(194,448,1000);(155,277,428,440,531,707,795,1086,980,1244);(231,218,208);(1056,129,492,1055,1000)
Spieropbouw;Beginner;1;0;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Spieropbouw;Beginner;1;1;1;Full body;(218,208,214);(473,493,1059);(5,236,425,428,468,480,442,573,677,878,929,1233);(231,218,208);(1068,1056,275,170)
Spieropbouw;Beginner;1;1;2;Full body;(218) (208);(177,474,1007) (1057,187,175);(72,266,407,430,433,445,607,721,849,894,997,1078) (14,358,396,432,463,466,565,706,733,1015,1033,1172);(208) (228);(1000,449,170,1054) (493,1004,1113,1035)
Spieropbouw;Beginner;1;2;1;Full body;(206,215,229);(988,279,1058);(128,293,408,431,453,487,543,657,679,959,987,1153);(214,212,207);(1055,1068,1112,170)
Spieropbouw;Beginner;1;2;2;Full body;(217) (215,212,222);(991,624,493) (1035,189,448);(46,346,407,425,447,477,584,682,678,994,1008,1179) (185,387,429,396,446,481,531,681,689,954,1017,1152);(206,223,215) (205,221,223);(451,427,963,1099) (1112,187,189,493)
